position,season,games_played_season,fantasy_points,player_type,points_per_game
WR,2020,7.0,18.1,offensive,2.59
RB,2020,11.0,54.7,offensive,4.97
WR,2020,14.0,161.70000000000002,offensive,11.55
QB,2020,16.0,621.32,offensive,38.83
RB,2020,11.0,113.2,offensive,10.29
WR,2020,9.0,33.6,offensive,3.73
RB,2020,16.0,68.4,offensive,4.28
WR,2020,12.0,12.200000000000001,offensive,1.02
WR,2020,16.0,155.8,offensive,9.74
WR,2020,9.0,15.8,offensive,1.76
RB,2020,12.0,188.8,offensive,15.73
WR,2020,16.0,152.4,offensive,9.52
RB,2020,9.0,120.39999999999999,offensive,13.38
RB,2020,7.0,15.4,offensive,2.2
WR,2020,16.0,144.10000000000002,offensive,9.01
TE,2020,15.0,256.6,offensive,17.11
RB,2020,7.0,17.9,offensive,2.56
RB,2020,12.0,96.0,offensive,8.0
WR,2020,16.0,229.10000000000002,offensive,14.32
TE,2020,14.0,191.2,offensive,13.66
QB,2020,10.0,271.7,offensive,27.17
WR,2020,13.0,164.9,offensive,12.68
QB,2020,15.0,670.4000000000001,offensive,44.69
TE,2020,4.0,50.6,offensive,12.65
TE,2020,16.0,78.0,offensive,4.88
TE,2020,10.0,56.7,offensive,5.67
WR,2020,11.0,32.56,offensive,2.96
RB,2020,14.0,293.8,offensive,20.99
TE,2020,15.0,61.900000000000006,offensive,4.13
TE,2020,13.0,69.0,offensive,5.31
RB,2020,6.0,90.60000000000001,offensive,15.1
RB,2020,15.0,350.8,offensive,23.39
WR,2020,15.0,148.7,offensive,9.91
WR,2020,12.0,206.0,offensive,17.17
RB,2020,16.0,236.50000000000003,offensive,14.78
WR,2020,5.0,69.80000000000001,offensive,13.96
QB,2020,6.0,100.28,offensive,16.71
WR,2020,16.0,92.30000000000001,offensive,5.77
RB,2020,12.0,79.0,offensive,6.58
RB,2020,14.0,113.60000000000001,offensive,8.11
RB,2020,14.0,31.400000000000002,offensive,2.24
TE,2020,14.0,109.80000000000001,offensive,7.84
WR,2020,4.0,3.6,offensive,0.9
TE,2020,10.0,42.5,offensive,4.25
WR,2020,11.0,60.2,offensive,5.47
RB,2020,11.0,59.0,offensive,5.36
RB,2020,9.0,157.4,offensive,17.49
WR,2020,7.0,14.100000000000001,offensive,2.01
TE,2020,14.0,59.1,offensive,4.22
RB,2020,6.0,4.9,offensive,0.82
RB,2020,16.0,119.2,offensive,7.45
TE,2020,7.0,4.300000000000001,offensive,0.61
RB,2020,5.0,12.9,offensive,2.58
TE,2020,7.0,35.400000000000006,offensive,5.06
WR,2020,14.0,172.3,offensive,12.31
WR,2020,5.0,2.3000000000000007,offensive,0.46
WR,2020,7.0,30.400000000000002,offensive,4.34
WR,2020,7.0,57.1,offensive,8.16
WR,2020,5.0,34.0,offensive,6.8
RB,2020,13.0,34.5,offensive,2.65
WR,2020,10.0,54.1,offensive,5.41
TE,2020,6.0,3.6,offensive,0.6
RB,2020,8.0,7.4,offensive,0.92
RB,2020,14.0,64.8,offensive,4.63
TE,2020,10.0,102.9,offensive,10.29
WR,2020,16.0,77.7,offensive,4.86
TE,2020,13.0,58.7,offensive,4.52
TE,2020,13.0,26.5,offensive,2.04
WR,2020,8.0,88.0,offensive,11.0
RB,2020,16.0,176.2,offensive,11.01
WR,2020,12.0,57.3,offensive,4.77
RB,2020,12.0,24.3,offensive,2.02
TE,2020,16.0,127.5,offensive,7.97
RB,2020,12.0,47.3,offensive,3.94
WR,2020,11.0,14.2,offensive,1.29
WR,2020,16.0,163.06,offensive,10.19
RB,2020,16.0,80.6,offensive,5.04
WR,2020,10.0,64.62,offensive,6.46
WR,2020,13.0,94.30000000000001,offensive,7.25
WR,2020,9.0,23.0,offensive,2.56
QB,2020,5.0,1.28,offensive,0.26
TE,2020,10.0,15.900000000000002,offensive,1.59
RB,2020,7.0,42.400000000000006,offensive,6.06
RB,2020,5.0,30.5,offensive,6.1
WR,2020,9.0,99.0,offensive,11.0
QB,2020,4.0,77.0,offensive,19.25
WR,2020,10.0,41.6,offensive,4.16
WR,2020,5.0,21.6,offensive,4.32
WR,2020,16.0,125.2,offensive,7.82
RB,2020,16.0,159.0,offensive,9.94
WR,2020,8.0,15.0,offensive,1.88
